,0,1,2
HST-KLS1662-4013403,0.021,0.0206,0.9584
HST-KLS1665-4013406,0.0226,0.022,0.9554
HST-KLS1666-4013407,0.0206,0.022,0.9574
HST-KLS1667-4013408,0.0236,0.0214,0.955
HST-KLS1668-4013409,0.026,0.0236,0.9504
HST-KLS1669-4013410,0.0254,0.0228,0.9518
HST-KLS1670-4013411,0.0186,0.0172,0.9642
HST-KLS1671-4013412,0.0174,0.017,0.9656
HST-KLS1673-4013414,0.023,0.0208,0.9562
HST-KLS1674-4013415,0.0204,0.0184,0.9612
HST-KLS1675-4013416,0.016,0.0146,0.9694
HST-KLS1676-4013417,0.0216,0.0206,0.9578
HST-KLS1678-4013419,0.022,0.0194,0.9586
HST-KLS1680-4013421,0.0228,0.02,0.9572
HST-KLS1681-4013422,0.0242,0.0236,0.9522
HST-KLS1683-4013424,0.0178,0.0182,0.964
HST-KLS1684-4013425,0.015,0.0142,0.9708
HST-KLS1685-4013426,0.0246,0.022,0.9534
HST-KLS1686-4013427,0.0178,0.0162,0.966
HST-KLS1688-4013428,0.0292,0.0258,0.945
HST-KLS1689-4013429,0.025,0.0206,0.9544
HST-KLS1691-4013431,0.0174,0.017,0.9656
HST-KLS0490-2892498,0.0216,0.0196,0.9588
HST-KLS0527-2892409,0.0272,0.0246,0.9482
HST-KLS0528-2892531,0.0214,0.0172,0.9614
HST-KLS0566-2892525,0.0172,0.0164,0.9664
HST-KLS0573-2892480,0.0236,0.023,0.9534
HST-KLS0604-2892450,0.029,0.0248,0.9462
HST-KLS0635-2562180,0.0228,0.0208,0.9564
HST-KLS0636-2562216,0.0276,0.0264,0.946
HST-KLS0675-2892455,0.0176,0.0182,0.9642
HST-KLS0677-2892491,0.0166,0.016,0.9674
HST-KLS0678-2892468,0.02,0.021,0.959
HST-KLS0679-2892438,0.024,0.0234,0.9526
HST-KLS0680-2892474,0.0162,0.0144,0.9694
HST-KLS0681-2892443,0.023,0.0216,0.9554
HST-KLS0682-2892504,0.0198,0.0182,0.962
HST-KLS0686-2892505,0.021,0.0178,0.9612
HST-KLS0687-2892451,0.0168,0.0158,0.9674
HST-KLS1157-3593388,0.0214,0.0194,0.9592
HST-KLS1158-3593383,0.0224,0.0212,0.9564
HST-KLS1159-3593340,0.0222,0.0204,0.9574
HST-KLS1367-3593339,0.0224,0.022,0.9556
HST-KLS1369-3593347,0.0228,0.022,0.9552
HST-KLS1370-3593333,0.0166,0.0166,0.9668
HST-KLS1371-3593312,0.0218,0.0204,0.9578
HST-KLS1372-3593318,0.022,0.0222,0.9558
HST-KLS1380-3593381,0.0188,0.0192,0.962
HST-KLS1384-3593379,0.0206,0.0188,0.9606
HST-KLS1385-3593310,0.0274,0.0236,0.949
HST-KLS1412-3593322,0.0256,0.0208,0.9536
HST-KLS1414-3593346,0.023,0.022,0.955
HST-KLS1417-3593370,0.0202,0.0178,0.962
HST-KLS1418-3593309,0.022,0.0222,0.9558
HST-KLS1419-3593306,0.0228,0.0212,0.956
HST-KLS1420-3593353,0.0226,0.0212,0.9562
HST-KLS1422-3593399,0.0186,0.0174,0.964
HST-KLS1424-3593329,0.014,0.013,0.973
HST-KLS1429-3593311,0.0182,0.017,0.9648
HST-VU38-2892414,0.0222,0.0196,0.9582
HST-KLS0794-2562199,0.0178,0.016,0.9662
HST-KLS0795-2892379,0.0214,0.0202,0.9584
HST-KLS0804-2892392,0.019,0.0168,0.9642
HST-KLS0843-2892452,0.0272,0.0226,0.9502
HST-KLS0847-2892542,0.073,0.0456,0.8814
HST-KLS0858-2892456,0.025,0.0214,0.9536
HST-KLS0883-2892509,0.0206,0.0186,0.9608
HST-KLS0923-2892400,0.0236,0.0204,0.956
HST-KLS0938-2892388,0.0158,0.0154,0.9688
HST-KLS0983-2892406,0.0172,0.0158,0.967
HST-KLS0986-2892407,0.0176,0.0178,0.9646
HST-KLS1273-2892431,0.0124,0.0116,0.976
HST-KLS1274-2892410,0.0222,0.0204,0.9574
HST-VU116-2892391,0.0308,0.0256,0.9436
HST-KLS0559-2892377,0.017,0.018,0.965
HST-KLS1173-2892444,0.0218,0.0204,0.9578
HST-KLS1182-2892449,0.0174,0.0176,0.965
HST-KLS1200-2892434,0.0222,0.0222,0.9556
HST-KLS1206-3593330,0.0172,0.0158,0.967
HST-KLS1227-2892412,0.0222,0.02,0.9578
HST-KLS1515-3593385,0.0174,0.0164,0.9662
HST-KLS1517-3593355,0.0234,0.0202,0.9564
HST-KLS1528-3593321,0.022,0.021,0.957
HST-KLS1541-3593313,0.0174,0.016,0.9666
HST-KLS1544-3593344,0.0168,0.0164,0.9668
HST-KLS1556-3593324,0.0186,0.0184,0.963
HST-SS170814-01-2562208,0.0394,0.0274,0.9332
HST-SS170820-02-2892469,0.0176,0.016,0.9664
