,0,1,2,3,4,5
HST-KLS1662-4013403,0.0078,0.009,0.009,0.9584,0.008,0.0078
HST-KLS1665-4013406,0.0074,0.0086,0.0088,0.958,0.0082,0.009
HST-KLS1666-4013407,0.0088,0.009,0.008,0.955,0.0098,0.0094
HST-KLS1667-4013408,0.0078,0.0078,0.0092,0.9596,0.0084,0.0072
HST-KLS1668-4013409,0.0098,0.0102,0.0106,0.949,0.0104,0.01
HST-KLS1669-4013410,0.0106,0.0092,0.0098,0.9512,0.0092,0.01
HST-KLS1670-4013411,0.0068,0.0072,0.007,0.965,0.007,0.007
HST-KLS1671-4013412,0.0078,0.0088,0.007,0.9628,0.0072,0.0064
HST-KLS1673-4013414,0.009,0.0096,0.0088,0.9538,0.0094,0.0094
HST-KLS1674-4013415,0.0072,0.007,0.0078,0.9634,0.0072,0.0074
HST-KLS1675-4013416,0.0058,0.0058,0.006,0.9698,0.0066,0.006
HST-KLS1676-4013417,0.008,0.0078,0.0082,0.9584,0.0078,0.0098
HST-KLS1678-4013419,0.0082,0.0082,0.0074,0.9602,0.0084,0.0076
HST-KLS1680-4013421,0.0088,0.0088,0.0084,0.958,0.008,0.008
HST-KLS1681-4013422,0.0092,0.0098,0.0094,0.9552,0.0076,0.0088
HST-KLS1683-4013424,0.0078,0.0082,0.0084,0.9604,0.0074,0.0078
HST-KLS1684-4013425,0.007,0.0068,0.0066,0.968,0.0062,0.0054
HST-KLS1685-4013426,0.0108,0.0092,0.0108,0.95,0.009,0.0102
HST-KLS1686-4013427,0.0078,0.007,0.0062,0.9664,0.0066,0.006
HST-KLS1688-4013428,0.0114,0.0106,0.009,0.9472,0.0114,0.0104
HST-KLS1689-4013429,0.0098,0.009,0.0096,0.9536,0.0092,0.0088
HST-KLS1691-4013431,0.0072,0.0064,0.007,0.9664,0.0062,0.0068
HST-KLS0490-2892498,0.0076,0.0082,0.0094,0.96,0.007,0.0078
HST-KLS0527-2892409,0.0106,0.0112,0.012,0.944,0.0118,0.0104
HST-KLS0528-2892531,0.0074,0.0072,0.008,0.964,0.0066,0.0068
HST-KLS0566-2892525,0.0056,0.006,0.0068,0.9696,0.006,0.006
HST-KLS0573-2892480,0.0084,0.0092,0.0096,0.9556,0.0094,0.0078
HST-KLS0604-2892450,0.0112,0.011,0.0098,0.9492,0.01,0.0088
HST-KLS0635-2562180,0.0074,0.0092,0.0092,0.958,0.0082,0.008
HST-KLS0636-2562216,0.0108,0.0134,0.0134,0.9386,0.012,0.0118
HST-KLS0675-2892455,0.0064,0.0064,0.0066,0.9676,0.006,0.007
HST-KLS0677-2892491,0.0064,0.007,0.0062,0.9686,0.006,0.0058
HST-KLS0678-2892468,0.0082,0.0076,0.0078,0.9594,0.0086,0.0084
HST-KLS0679-2892438,0.0094,0.0098,0.0098,0.9528,0.0096,0.0086
HST-KLS0680-2892474,0.0064,0.007,0.0064,0.9674,0.0064,0.0064
HST-KLS0681-2892443,0.009,0.008,0.009,0.9578,0.0078,0.0084
HST-KLS0682-2892504,0.0076,0.0092,0.0078,0.9592,0.008,0.0082
HST-KLS0686-2892505,0.0082,0.0072,0.0082,0.9606,0.0084,0.0074
HST-KLS0687-2892451,0.0062,0.0062,0.0068,0.9676,0.0064,0.0068
HST-KLS1157-3593388,0.0082,0.0076,0.007,0.962,0.0082,0.007
HST-KLS1158-3593383,0.0094,0.0088,0.009,0.9574,0.0078,0.0076
