,0,1,2,3,4,5,6,7
HST-KLS1662-4013403,0.007,0.0098,0.0042,0.0024,0.0092,0.0086,0.0022,0.9566
HST-KLS1665-4013406,0.0058,0.0068,0.0038,0.0084,0.0076,0.0064,0.0028,0.9584
HST-KLS1666-4013407,0.0082,0.0092,0.0058,0.0026,0.0092,0.0092,0.0024,0.9534
HST-KLS1667-4013408,0.0032,0.0038,0.0028,0.0022,0.003,0.004,0.0262,0.9548
HST-KLS1668-4013409,0.0076,0.0128,0.0048,0.0034,0.0092,0.0096,0.0032,0.9494
HST-KLS1669-4013410,0.006,0.0068,0.014,0.0034,0.008,0.0072,0.0028,0.9518
HST-KLS1670-4013411,0.0048,0.0072,0.0034,0.0024,0.0068,0.009,0.0016,0.9648
HST-KLS1671-4013412,0.0062,0.0068,0.003,0.004,0.0066,0.0064,0.0016,0.9654
HST-KLS1673-4013414,0.0066,0.01,0.0044,0.0024,0.0086,0.0082,0.002,0.9578
HST-KLS1674-4013415,0.0062,0.0066,0.0056,0.0034,0.0068,0.0062,0.0024,0.9628
HST-KLS1675-4013416,0.0058,0.0072,0.0028,0.0026,0.0066,0.0066,0.0018,0.9666
HST-KLS1676-4013417,0.0064,0.0094,0.005,0.0028,0.008,0.0086,0.0026,0.9572
HST-KLS1678-4013419,0.0054,0.0062,0.0066,0.0038,0.008,0.0064,0.003,0.9606
HST-KLS1680-4013421,0.0054,0.0062,0.0108,0.004,0.0068,0.0056,0.0018,0.9594
HST-KLS1681-4013422,0.0076,0.0084,0.0056,0.0032,0.0092,0.0084,0.0022,0.9554
HST-KLS1683-4013424,0.0064,0.0074,0.004,0.0024,0.0072,0.0068,0.0016,0.9642
HST-KLS1684-4013425,0.0044,0.0046,0.003,0.0026,0.0054,0.0046,0.0064,0.969
HST-KLS1685-4013426,0.0086,0.008,0.009,0.0038,0.007,0.0104,0.0032,0.95
HST-KLS1686-4013427,0.0064,0.0078,0.003,0.0026,0.0058,0.0062,0.0018,0.9664
HST-KLS1688-4013428,0.008,0.0082,0.0116,0.003,0.0098,0.0088,0.0032,0.9474
HST-KLS1689-4013429,0.0076,0.0082,0.0044,0.0028,0.0108,0.0094,0.0022,0.9546
HST-KLS1691-4013431,0.005,0.0044,0.0112,0.0038,0.0046,0.0048,0.002,0.9642
HST-KLS0490-2892498,0.0062,0.0082,0.004,0.0056,0.0072,0.0074,0.0038,0.9576
HST-KLS0527-2892409,0.009,0.0106,0.0084,0.003,0.011,0.0114,0.0012,0.9454
HST-KLS0528-2892531,0.0062,0.0076,0.0028,0.0024,0.0078,0.0086,0.0012,0.9634
HST-KLS0566-2892525,0.0052,0.0066,0.0026,0.0026,0.0054,0.0056,0.0016,0.9704
HST-KLS0573-2892480,0.0082,0.0094,0.0056,0.0028,0.0096,0.0102,0.0022,0.952
HST-KLS0604-2892450,0.0076,0.01,0.0038,0.0022,0.0114,0.0126,0.0022,0.9502
HST-KLS0635-2562180,0.0068,0.0082,0.0044,0.0028,0.0088,0.0088,0.0018,0.9584
HST-KLS0636-2562216,0.0118,0.0098,0.0038,0.0026,0.0116,0.0132,0.0012,0.946
HST-KLS0675-2892455,0.0058,0.0068,0.0032,0.0028,0.0066,0.0058,0.0022,0.9668
HST-KLS0677-2892491,0.006,0.0066,0.0024,0.0026,0.0062,0.0074,0.001,0.9678
HST-KLS0678-2892468,0.0068,0.0064,0.0042,0.0074,0.0062,0.006,0.0022,0.9608
HST-KLS0679-2892438,0.0036,0.0028,0.0024,0.0026,0.0036,0.0032,0.0314,0.9504
HST-KLS0680-2892474,0.0048,0.006,0.0032,0.002,0.0052,0.007,0.002,0.9698
HST-KLS0681-2892443,0.0084,0.0092,0.0036,0.0028,0.0096,0.0072,0.002,0.9572
HST-KLS0682-2892504,0.0066,0.0082,0.0034,0.0034,0.0076,0.0068,0.0034,0.9606
HST-KLS0686-2892505,0.0076,0.0062,0.0058,0.0044,0.0062,0.0068,0.0022,0.9608
HST-KLS0687-2892451,0.0048,0.005,0.0022,0.0022,0.0062,0.0054,0.0016,0.9726
