,0,1
HST-As008-3991483,0.6999,0.3001
HST-KLS0362-2562256,0.7431,0.2569
HST-KLS0490-2892498,0.9688,0.0312
HST-KLS0527-2892409,0.997,0.003
HST-KLS0528-2892531,0.9962,0.0038
HST-KLS0566-2892525,0.9978,0.0022
HST-KLS0573-2892480,0.9954,0.0046
HST-KLS0604-2892450,0.9911,0.0089
HST-KLS0635-2562180,0.9417,0.0583
HST-KLS0636-2562216,0.9657,0.0343
HST-KLS0675-2892455,0.9915,0.0085
HST-KLS0677-2892491,0.996,0.004
HST-KLS0678-2892468,0.9976,0.0024
HST-KLS0679-2892438,0.9922,0.0078
HST-KLS0680-2892474,0.9411,0.0589
HST-KLS0681-2892443,0.9985,0.0015
HST-KLS0682-2892504,0.9818,0.0182
HST-KLS0686-2892505,0.993,0.007
HST-KLS0687-2892451,0.975,0.025
HST-KLS1157-3593388,0.9798,0.0202
HST-KLS1158-3593383,0.9948,0.0052
HST-KLS1159-3593340,0.9978,0.0022
HST-KLS1367-3593339,0.9958,0.0042
HST-KLS1369-3593347,0.9665,0.0335
HST-KLS1370-3593333,0.9862,0.0138
HST-KLS1371-3593312,0.9784,0.0216
HST-KLS1372-3593318,0.9725,0.0275
HST-KLS1380-3593381,0.7635,0.2365
HST-KLS1384-3593379,0.8374,0.1626
HST-KLS1385-3593310,0.8567,0.1433
HST-KLS1412-3593322,0.9076,0.0924
HST-KLS1414-3593346,0.9833,0.0167
HST-KLS1417-3593370,0.9851,0.0149
HST-KLS1418-3593309,0.9763,0.0237
HST-KLS1419-3593306,0.9838,0.0162
HST-KLS1420-3593353,0.9203,0.0797
HST-KLS1422-3593399,0.9747,0.0253
HST-KLS1424-3593329,0.995,0.005
HST-KLS1429-3593311,0.9819,0.0181
HST-KLS1662-4013403,0.9526,0.0474
HST-KLS1665-4013406,0.9981,0.0019
HST-KLS1666-4013407,0.9839,0.0161
HST-KLS1667-4013408,0.9967,0.0033
HST-KLS1668-4013409,0.9924,0.0076
HST-KLS1669-4013410,0.9987,0.0013
HST-KLS1670-4013411,0.9964,0.0036
HST-KLS1671-4013412,0.9976,0.0024
HST-KLS1673-4013414,0.9433,0.0567
HST-KLS1674-4013415,0.9962,0.0038
HST-KLS1675-4013416,0.9961,0.0039
HST-KLS1676-4013417,0.9927,0.0073
HST-KLS1678-4013419,0.9935,0.0065
HST-KLS1680-4013421,0.996,0.004
HST-KLS1681-4013422,0.9942,0.0058
HST-KLS1683-4013424,0.9938,0.0062
HST-KLS1684-4013425,0.9968,0.0032
HST-KLS1685-4013426,0.9881,0.0119
HST-KLS1686-4013427,0.9878,0.0122
HST-KLS1689-4013429,0.9937,0.0063
HST-KLS1691-4013431,0.9964,0.0036
HST-VU38-2892414,0.9917,0.0083
HST-KLS0794-2562199,0.997,0.003
HST-KLS0795-2892379,0.9953,0.0047
HST-KLS0804-2892392,0.9984,0.0016
HST-KLS0843-2892452,0.9964,0.0036
HST-KLS0847-2892542,0.9959,0.0041
HST-KLS0858-2892456,0.9965,0.0035
HST-KLS0883-2892509,0.9675,0.0325
HST-KLS0923-2892400,0.9978,0.0022
HST-KLS0938-2892388,0.9962,0.0038
HST-KLS0983-2892406,0.9923,0.0077
HST-KLS0986-2892407,0.998,0.002
HST-KLS1273-2892431,0.9967,0.0033
HST-KLS1274-2892410,0.9984,0.0016
HST-As004-3991479,0.0204,0.9796
HST-As005-3991480,0.129,0.871
HST-As006-3991481,0.0251,0.9749
HST-As007-3991482,0.0176,0.9824
HST-As009-3991484,0.1184,0.8816
HST-As011-3991486,0.0138,0.9862
HST-MW04488-2562113,0.1054,0.8946
HST-VU127-2562116,0.8819,0.1181
HST-VU135-2892457,0.797,0.203
HST-VU141-2562238,0.9312,0.0688
HST-VU143-2892418,0.7556,0.2444
HST-VU116-2892391,0.6098,0.3902
HST-J82337-2562260,0.061,0.939
HST-KLS0559-2892377,0.9976,0.0024
HST-KLS1173-2892444,0.9967,0.0033
HST-KLS1182-2892449,0.9974,0.0026
HST-KLS1200-2892434,0.9981,0.0019
HST-KLS1206-3593330,0.9974,0.0026
HST-KLS1227-2892412,0.9979,0.0021
HST-KLS1515-3593385,0.9988,0.0012
HST-KLS1517-3593355,0.9948,0.0052
HST-KLS1528-3593321,0.9924,0.0076
HST-KLS1541-3593313,0.9929,0.0071
HST-KLS1544-3593344,0.9928,0.0072
HST-KLS1556-3593324,0.9947,0.0053
HST-SS170814-01-2562208,0.997,0.003
HST-SS170820-02-2892469,0.9979,0.0021
