,0,1,2
HST-As008-3991483,0.0489,0.9237,0.0274
HST-KLS0362-2562256,0.0706,0.925,0.0044
HST-KLS0490-2892498,0.9737,0.0021,0.0242
HST-KLS0527-2892409,0.9961,0.0027,0.0012
HST-KLS0528-2892531,0.9969,0.0015,0.0016
HST-KLS0566-2892525,0.9959,0.0029,0.0012
HST-KLS0573-2892480,0.9947,0.0031,0.0022
HST-KLS0604-2892450,0.9904,0.0039,0.0057
HST-KLS0635-2562180,0.9555,0.0028,0.0417
HST-KLS0636-2562216,0.9757,0.0104,0.0139
HST-KLS0675-2892455,0.9901,0.0059,0.004
HST-KLS0677-2892491,0.9946,0.0038,0.0016
HST-KLS0678-2892468,0.9968,0.0019,0.0013
HST-KLS0679-2892438,0.9009,0.0975,0.0016
HST-KLS0680-2892474,0.9359,0.0047,0.0594
HST-KLS0681-2892443,0.9802,0.0188,0.001
HST-KLS0682-2892504,0.9334,0.062,0.0046
HST-KLS0686-2892505,0.9934,0.0037,0.0029
HST-KLS0687-2892451,0.9601,0.0305,0.0094
HST-KLS1157-3593388,0.9607,0.0341,0.0052
HST-KLS1158-3593383,0.9924,0.0051,0.0025
HST-KLS1159-3593340,0.9942,0.0047,0.0011
HST-KLS1367-3593339,0.9906,0.0071,0.0023
HST-KLS1369-3593347,0.9697,0.0093,0.021
HST-KLS1370-3593333,0.9857,0.0061,0.0082
HST-KLS1371-3593312,0.9876,0.0038,0.0086
HST-KLS1372-3593318,0.9866,0.0032,0.0102
HST-KLS1380-3593381,0.7374,0.0343,0.2283
HST-KLS1384-3593379,0.8475,0.0038,0.1487
HST-KLS1385-3593310,0.8444,0.0215,0.1341
HST-KLS1412-3593322,0.9356,0.0037,0.0607
HST-KLS1414-3593346,0.9868,0.0046,0.0086
HST-KLS1417-3593370,0.9854,0.0088,0.0058
HST-KLS1418-3593309,0.9723,0.0143,0.0134
HST-KLS1419-3593306,0.9872,0.0013,0.0115
HST-KLS1420-3593353,0.9299,0.0227,0.0474
HST-KLS1422-3593399,0.9616,0.0273,0.0111
HST-KLS1424-3593329,0.9849,0.0124,0.0027
HST-KLS1429-3593311,0.9877,0.0025,0.0098
HST-KLS1662-4013403,0.9717,0.0147,0.0136
HST-KLS1665-4013406,0.9957,0.0033,0.001
HST-KLS1666-4013407,0.9916,0.0031,0.0053
HST-KLS1667-4013408,0.9967,0.0018,0.0015
HST-KLS1668-4013409,0.9894,0.005,0.0056
HST-KLS1669-4013410,0.9962,0.0028,0.001
HST-KLS1670-4013411,0.997,0.0013,0.0017
HST-KLS1671-4013412,0.9975,0.001,0.0015
HST-KLS1673-4013414,0.9368,0.0041,0.0591
HST-KLS1674-4013415,0.9965,0.0022,0.0013
HST-KLS1675-4013416,0.985,0.0129,0.0021
HST-KLS1676-4013417,0.9782,0.0178,0.004
HST-KLS1678-4013419,0.9958,0.001,0.0032
HST-KLS1680-4013421,0.9953,0.0035,0.0012
HST-KLS1681-4013422,0.993,0.0037,0.0033
HST-KLS1683-4013424,0.993,0.0035,0.0035
HST-KLS1684-4013425,0.9879,0.0105,0.0016
HST-KLS1685-4013426,0.977,0.0168,0.0062
HST-KLS1686-4013427,0.9943,0.0019,0.0038
HST-KLS1689-4013429,0.9925,0.0055,0.002
HST-KLS1691-4013431,0.9961,0.0022,0.0017
HST-VU38-2892414,0.9868,0.0089,0.0043
HST-KLS0794-2562199,0.9948,0.0034,0.0018
HST-KLS0795-2892379,0.9949,0.0024,0.0027
HST-KLS0804-2892392,0.9974,0.0016,0.001
HST-KLS0843-2892452,0.9952,0.003,0.0018
HST-KLS0847-2892542,0.9732,0.0247,0.0021
HST-KLS0858-2892456,0.997,0.0012,0.0018
HST-KLS0883-2892509,0.9812,0.0013,0.0175
HST-KLS0923-2892400,0.998,0.001,0.001
HST-KLS0938-2892388,0.9895,0.0084,0.0021
HST-KLS0983-2892406,0.9943,0.0029,0.0028
HST-KLS0986-2892407,0.9936,0.0054,0.001
HST-KLS1273-2892431,0.9856,0.0128,0.0016
HST-KLS1274-2892410,0.998,0.001,0.001
HST-As004-3991479,0.0023,0.0055,0.9922
HST-As005-3991480,0.0546,0.001,0.9444
HST-As006-3991481,0.0023,0.0012,0.9965
HST-As007-3991482,0.0026,0.0054,0.992
HST-As009-3991484,0.0227,0.0021,0.9752
HST-As011-3991486,0.0026,0.0044,0.993
HST-MW04488-2562113,0.025,0.0049,0.9701
HST-VU127-2562116,0.1075,0.8899,0.0026
HST-VU135-2892457,0.235,0.7606,0.0044
HST-VU141-2562238,0.3491,0.6487,0.0022
HST-VU143-2892418,0.221,0.7698,0.0092
HST-VU116-2892391,0.4168,0.21,0.3732
HST-J82337-2562260,0.0038,0.0508,0.9454
HST-KLS0559-2892377,0.9967,0.0019,0.0014
HST-KLS1173-2892444,0.9953,0.0034,0.0013
HST-KLS1182-2892449,0.9947,0.0034,0.0019
HST-KLS1200-2892434,0.9947,0.0043,0.001
HST-KLS1206-3593330,0.9977,0.001,0.0013
HST-KLS1227-2892412,0.9972,0.0018,0.001
HST-KLS1515-3593385,0.9914,0.0076,0.001
HST-KLS1517-3593355,0.996,0.0011,0.0029
HST-KLS1528-3593321,0.9885,0.0091,0.0024
HST-KLS1541-3593313,0.9937,0.0018,0.0045
HST-KLS1544-3593344,0.9946,0.0019,0.0035
HST-KLS1556-3593324,0.9955,0.0017,0.0028
HST-SS170814-01-2562208,0.9894,0.0089,0.0017
HST-SS170820-02-2892469,0.9979,0.0011,0.001
