,0,1,2,3
HST-As008-3991483,0.0015,0.0033,0.0074,0.9878
HST-KLS0362-2562256,0.002,0.0018,0.0024,0.9938
HST-KLS0490-2892498,0.4822,0.5019,0.0135,0.0024
HST-KLS0527-2892409,0.7461,0.2491,0.001,0.0038
HST-KLS0528-2892531,0.9656,0.0301,0.0022,0.0021
HST-KLS0566-2892525,0.9698,0.0262,0.0013,0.0027
HST-KLS0573-2892480,0.934,0.0583,0.0028,0.0049
HST-KLS0604-2892450,0.8537,0.136,0.0057,0.0046
HST-KLS0635-2562180,0.9666,0.013,0.0172,0.0032
HST-KLS0636-2562216,0.9605,0.0165,0.0092,0.0138
HST-KLS0675-2892455,0.9771,0.0144,0.0035,0.005
HST-KLS0677-2892491,0.9562,0.0351,0.0025,0.0062
HST-KLS0678-2892468,0.9888,0.008,0.0011,0.0021
HST-KLS0679-2892438,0.894,0.0427,0.0015,0.0618
HST-KLS0680-2892474,0.9456,0.0203,0.0304,0.0037
HST-KLS0681-2892443,0.8994,0.0736,0.001,0.026
HST-KLS0682-2892504,0.9258,0.0123,0.0042,0.0577
HST-KLS0686-2892505,0.9734,0.0141,0.004,0.0085
HST-KLS0687-2892451,0.9618,0.0164,0.005,0.0168
HST-KLS1157-3593388,0.5378,0.4391,0.0053,0.0178
HST-KLS1158-3593383,0.0575,0.9376,0.0014,0.0035
HST-KLS1159-3593340,0.0121,0.9832,0.001,0.0037
HST-KLS1367-3593339,0.0378,0.9556,0.0014,0.0052
HST-KLS1369-3593347,0.0042,0.9773,0.0082,0.0103
HST-KLS1370-3593333,0.1117,0.8785,0.0048,0.005
HST-KLS1371-3593312,0.0409,0.9529,0.0029,0.0033
HST-KLS1372-3593318,0.0155,0.979,0.0032,0.0023
HST-KLS1380-3593381,0.0066,0.7187,0.2075,0.0671
HST-KLS1384-3593379,0.0052,0.8935,0.0961,0.0052
HST-KLS1385-3593310,0.0105,0.8612,0.103,0.0253
HST-KLS1412-3593322,0.0156,0.9567,0.0242,0.0035
HST-KLS1414-3593346,0.0161,0.9784,0.0025,0.003
HST-KLS1417-3593370,0.0928,0.8979,0.0045,0.0048
HST-KLS1418-3593309,0.0218,0.955,0.0058,0.0174
HST-KLS1419-3593306,0.0117,0.9828,0.0043,0.0012
HST-KLS1420-3593353,0.0131,0.9535,0.0188,0.0146
HST-KLS1422-3593399,0.0692,0.9077,0.0082,0.0149
HST-KLS1424-3593329,0.0121,0.9774,0.0011,0.0094
HST-KLS1429-3593311,0.0088,0.9848,0.0042,0.0022
HST-KLS1662-4013403,0.0078,0.9823,0.0047,0.0052
HST-KLS1665-4013406,0.1032,0.8913,0.001,0.0045
HST-KLS1666-4013407,0.0077,0.9887,0.0018,0.0018
HST-KLS1667-4013408,0.3228,0.6737,0.0015,0.002
HST-KLS1668-4013409,0.0509,0.9424,0.0027,0.004
HST-KLS1669-4013410,0.0135,0.9838,0.0009,0.0018
HST-KLS1670-4013411,0.0984,0.8985,0.0013,0.0018
HST-KLS1671-4013412,0.0231,0.9747,0.0012,0.001
HST-KLS1673-4013414,0.0282,0.9338,0.0343,0.0037
HST-KLS1674-4013415,0.0844,0.9122,0.001,0.0024
HST-KLS1675-4013416,0.0547,0.9332,0.0018,0.0103
HST-KLS1676-4013417,0.0259,0.9605,0.0032,0.0104
HST-KLS1678-4013419,0.0132,0.9838,0.0019,0.0011
HST-KLS1680-4013421,0.0108,0.9846,0.001,0.0036
HST-KLS1681-4013422,0.479,0.5155,0.002,0.0035
HST-KLS1683-4013424,0.537,0.4568,0.0025,0.0037
HST-KLS1684-4013425,0.5379,0.4551,0.001,0.006
HST-KLS1685-4013426,0.0039,0.9829,0.003,0.0102
HST-KLS1686-4013427,0.0227,0.9721,0.0029,0.0023
HST-KLS1689-4013429,0.0049,0.9903,0.0013,0.0035
HST-KLS1691-4013431,0.0123,0.9846,0.0013,0.0018
HST-VU38-2892414,0.9763,0.0097,0.0037,0.0103
HST-KLS0794-2562199,0.9806,0.0139,0.002,0.0035
HST-KLS0795-2892379,0.9734,0.0215,0.0024,0.0027
HST-KLS0804-2892392,0.9926,0.0053,0.001,0.0011
HST-KLS0843-2892452,0.8383,0.1563,0.002,0.0034
HST-KLS0847-2892542,0.9877,0.0032,0.0016,0.0075
HST-KLS0858-2892456,0.9946,0.0029,0.0014,0.0011
HST-KLS0883-2892509,0.8144,0.1706,0.0135,0.0015
HST-KLS0923-2892400,0.9919,0.0057,0.0011,0.0013
HST-KLS0938-2892388,0.9791,0.0096,0.0021,0.0092
HST-KLS0983-2892406,0.9761,0.0182,0.0024,0.0033
HST-KLS0986-2892407,0.9788,0.0161,0.001,0.0041
HST-KLS1273-2892431,0.9915,0.0031,0.0011,0.0043
HST-KLS1274-2892410,0.9373,0.0602,0.001,0.0015
HST-As004-3991479,0.0016,0.0016,0.9928,0.004
HST-As005-3991480,0.0127,0.0146,0.9717,0.001
HST-As006-3991481,0.0011,0.0022,0.9955,0.0012
HST-As007-3991482,0.0011,0.0015,0.9946,0.0028
HST-As009-3991484,0.002,0.0064,0.9901,0.0015
HST-As011-3991486,0.0012,0.0013,0.9917,0.0058
HST-MW04488-2562113,0.015,0.0047,0.9753,0.005
HST-VU127-2562116,0.003,0.0022,0.0018,0.993
HST-VU135-2892457,0.0087,0.0054,0.0041,0.9818
HST-VU141-2562238,0.1328,0.0235,0.0018,0.8419
HST-VU143-2892418,0.0063,0.0037,0.0059,0.9841
HST-VU116-2892391,0.0744,0.2811,0.3721,0.2724
HST-J82337-2562260,0.0034,0.0012,0.9785,0.0169
HST-KLS0559-2892377,0.9867,0.0102,0.0011,0.002
HST-KLS1173-2892444,0.9805,0.0149,0.0015,0.0031
HST-KLS1182-2892449,0.9797,0.0142,0.0018,0.0043
HST-KLS1200-2892434,0.9886,0.0056,0.001,0.0048
HST-KLS1206-3593330,0.6107,0.3864,0.0014,0.0015
HST-KLS1227-2892412,0.9762,0.0196,0.001,0.0032
HST-KLS1515-3593385,0.9102,0.0807,0.001,0.0081
HST-KLS1517-3593355,0.0187,0.9777,0.002,0.0016
HST-KLS1528-3593321,0.0169,0.9752,0.0016,0.0063
HST-KLS1541-3593313,0.0352,0.9571,0.0046,0.0031
HST-KLS1544-3593344,0.4778,0.5163,0.0033,0.0026
HST-KLS1556-3593324,0.5274,0.4681,0.0026,0.0019
HST-SS170814-01-2562208,0.9839,0.008,0.0014,0.0067
HST-SS170820-02-2892469,0.8867,0.1105,0.0011,0.0017
