,0,1
HST-KLS0490-2892498,0.9079,0.0921
HST-KLS0527-2892409,0.8805,0.1195
HST-KLS0528-2892531,0.9062,0.0938
HST-KLS0566-2892525,0.9069,0.0931
HST-KLS0573-2892480,0.878,0.122
HST-KLS0604-2892450,0.9039,0.0961
HST-KLS0635-2562180,0.8845,0.1155
HST-KLS0636-2562216,0.8832,0.1168
HST-KLS0675-2892455,0.9157,0.0843
HST-KLS0677-2892491,0.885,0.115
HST-KLS0678-2892468,0.89,0.11
HST-KLS0679-2892438,0.8825,0.1175
HST-KLS0680-2892474,0.9058,0.0942
HST-KLS0681-2892443,0.8763,0.1237
HST-KLS0682-2892504,0.8942,0.1058
HST-KLS0686-2892505,0.8982,0.1018
HST-KLS0687-2892451,0.9081,0.0919
HST-KLS1157-3593388,0.8853,0.1147
HST-KLS1158-3593383,0.8976,0.1024
HST-KLS1159-3593340,0.8814,0.1186
HST-KLS1367-3593339,0.8805,0.1195
HST-KLS1369-3593347,0.886,0.114
HST-KLS1370-3593333,0.903,0.097
HST-KLS1371-3593312,0.8725,0.1275
HST-KLS1372-3593318,0.8729,0.1271
HST-KLS1380-3593381,0.8976,0.1024
HST-KLS1384-3593379,0.904,0.096
HST-KLS1385-3593310,0.8751,0.1249
HST-KLS1412-3593322,0.878,0.122
HST-KLS1414-3593346,0.8854,0.1146
HST-KLS1417-3593370,0.8898,0.1102
HST-KLS1418-3593309,0.8799,0.1201
HST-KLS1419-3593306,0.8879,0.1121
HST-KLS1420-3593353,0.8917,0.1083
HST-KLS1422-3593399,0.8999,0.1001
HST-KLS1424-3593329,0.9006,0.0994
HST-KLS1429-3593311,0.895,0.105
HST-KLS1662-4013403,0.8809,0.1191
HST-KLS1665-4013406,0.9065,0.0935
HST-KLS1666-4013407,0.8642,0.1358
HST-KLS1667-4013408,0.8975,0.1025
HST-KLS1668-4013409,0.8755,0.1245
HST-KLS1669-4013410,0.8696,0.1304
HST-KLS1670-4013411,0.8872,0.1128
HST-KLS1671-4013412,0.8921,0.1079
HST-KLS1673-4013414,0.8916,0.1084
HST-KLS1674-4013415,0.8744,0.1256
HST-KLS1675-4013416,0.8976,0.1024
HST-KLS1676-4013417,0.8936,0.1064
HST-KLS1678-4013419,0.8763,0.1237
HST-KLS1680-4013421,0.88,0.12
HST-KLS1681-4013422,0.8915,0.1085
HST-KLS1683-4013424,0.8922,0.1078
HST-KLS1684-4013425,0.8934,0.1066
HST-KLS1685-4013426,0.8726,0.1274
HST-KLS1686-4013427,0.9019,0.0981
HST-KLS1689-4013429,0.8855,0.1145
HST-KLS1691-4013431,0.88,0.12
HST-VU38-2892414,0.8988,0.1012
HST-KLS0794-2562199,0.905,0.095
HST-KLS0795-2892379,0.9005,0.0995
HST-KLS0804-2892392,0.8846,0.1154
HST-KLS0843-2892452,0.8952,0.1048
HST-KLS0847-2892542,0.9209,0.0791
HST-KLS0858-2892456,0.9068,0.0932
HST-KLS0883-2892509,0.8857,0.1143
HST-KLS0923-2892400,0.8969,0.1031
HST-KLS0938-2892388,0.9132,0.0868
HST-KLS0983-2892406,0.9092,0.0908
HST-KLS0986-2892407,0.8917,0.1083
HST-KLS1273-2892431,0.8994,0.1006
HST-KLS1274-2892410,0.8886,0.1114
HST-VU116-2892391,0.8767,0.1233
HST-KLS0559-2892377,0.9155,0.0845
HST-KLS1173-2892444,0.8818,0.1182
HST-KLS1182-2892449,0.8909,0.1091
HST-KLS1200-2892434,0.9253,0.0747
HST-KLS1206-3593330,0.9093,0.0907
HST-KLS1227-2892412,0.8765,0.1235
HST-KLS1515-3593385,0.9039,0.0961
HST-KLS1517-3593355,0.8846,0.1154
HST-KLS1528-3593321,0.8892,0.1108
HST-KLS1541-3593313,0.9047,0.0953
HST-KLS1544-3593344,0.8988,0.1012
HST-KLS1556-3593324,0.8925,0.1075
HST-SS170814-01-2562208,0.9046,0.0954
HST-SS170820-02-2892469,0.8887,0.1113
