,0,1,2
HST-KLS0490-2892498,0.8534,0.0627,0.0839
HST-KLS0527-2892409,0.8319,0.0814,0.0867
HST-KLS0528-2892531,0.8478,0.0627,0.0895
HST-KLS0566-2892525,0.86,0.0589,0.0811
HST-KLS0573-2892480,0.8388,0.078,0.0832
HST-KLS0604-2892450,0.8568,0.0652,0.0779
HST-KLS0635-2562180,0.8363,0.0774,0.0863
HST-KLS0636-2562216,0.8326,0.077,0.0904
HST-KLS0675-2892455,0.8659,0.0572,0.0769
HST-KLS0677-2892491,0.8334,0.0789,0.0877
HST-KLS0678-2892468,0.8381,0.0746,0.0873
HST-KLS0679-2892438,0.8291,0.078,0.0929
HST-KLS0680-2892474,0.8652,0.0661,0.0687
HST-KLS0681-2892443,0.8339,0.0828,0.0833
HST-KLS0682-2892504,0.8516,0.0695,0.0789
HST-KLS0686-2892505,0.8444,0.0684,0.0872
HST-KLS0687-2892451,0.8568,0.0646,0.0787
HST-KLS1157-3593388,0.8414,0.0761,0.0826
HST-KLS1158-3593383,0.8501,0.0653,0.0846
HST-KLS1159-3593340,0.8334,0.0777,0.0889
HST-KLS1367-3593339,0.8241,0.08,0.0958
HST-KLS1369-3593347,0.841,0.0737,0.0853
HST-KLS1370-3593333,0.8437,0.0646,0.0917
HST-KLS1371-3593312,0.8228,0.0823,0.095
HST-KLS1372-3593318,0.835,0.0808,0.0842
HST-KLS1380-3593381,0.8523,0.0712,0.0765
HST-KLS1384-3593379,0.8559,0.0638,0.0803
HST-KLS1385-3593310,0.8323,0.0796,0.0881
HST-KLS1412-3593322,0.8291,0.0806,0.0903
HST-KLS1414-3593346,0.8455,0.0733,0.0812
HST-KLS1417-3593370,0.8479,0.0707,0.0814
HST-KLS1418-3593309,0.8326,0.081,0.0864
HST-KLS1419-3593306,0.8302,0.0749,0.095
HST-KLS1420-3593353,0.8462,0.0741,0.0797
HST-KLS1422-3593399,0.848,0.0646,0.0874
HST-KLS1424-3593329,0.8507,0.064,0.0853
HST-KLS1429-3593311,0.8483,0.0707,0.081
HST-KLS1662-4013403,0.8401,0.0791,0.0808
HST-KLS1665-4013406,0.8611,0.0635,0.0754
HST-KLS1666-4013407,0.8236,0.0877,0.0887
HST-KLS1667-4013408,0.8456,0.0701,0.0843
HST-KLS1668-4013409,0.8236,0.0826,0.0938
HST-KLS1669-4013410,0.8235,0.0831,0.0934
HST-KLS1670-4013411,0.8354,0.0781,0.0865
HST-KLS1671-4013412,0.8381,0.0714,0.0905
HST-KLS1673-4013414,0.8398,0.072,0.0882
HST-KLS1674-4013415,0.8283,0.0802,0.0915
HST-KLS1675-4013416,0.8523,0.0682,0.0795
HST-KLS1676-4013417,0.8475,0.0713,0.0812
HST-KLS1678-4013419,0.8303,0.0828,0.0868
HST-KLS1680-4013421,0.8352,0.0818,0.083
HST-KLS1681-4013422,0.8364,0.0719,0.0917
HST-KLS1683-4013424,0.8456,0.0701,0.0843
HST-KLS1684-4013425,0.8329,0.0707,0.0964
HST-KLS1685-4013426,0.8274,0.0871,0.0855
HST-KLS1686-4013427,0.8521,0.0617,0.0862
HST-KLS1689-4013429,0.839,0.0732,0.0878
HST-KLS1691-4013431,0.8286,0.0826,0.0888
HST-VU38-2892414,0.8494,0.0693,0.0813
HST-KLS0794-2562199,0.8534,0.0617,0.0849
HST-KLS0795-2892379,0.8476,0.066,0.0864
HST-KLS0804-2892392,0.8349,0.0764,0.0887
HST-KLS0843-2892452,0.8495,0.0692,0.0813
HST-KLS0847-2892542,0.8702,0.0545,0.0753
HST-KLS0858-2892456,0.8608,0.0588,0.0804
HST-KLS0883-2892509,0.8372,0.0773,0.0855
HST-KLS0923-2892400,0.8394,0.0712,0.0893
HST-KLS0938-2892388,0.8617,0.0588,0.0795
HST-KLS0983-2892406,0.8521,0.062,0.0858
HST-KLS0986-2892407,0.8439,0.0725,0.0837
HST-KLS1273-2892431,0.8454,0.0657,0.0889
HST-KLS1274-2892410,0.8425,0.069,0.0886
HST-VU116-2892391,0.8381,0.0792,0.0827
HST-KLS0559-2892377,0.8834,0.0527,0.0639
HST-KLS1173-2892444,0.8357,0.0787,0.0856
HST-KLS1182-2892449,0.8414,0.0729,0.0857
HST-KLS1200-2892434,0.8885,0.0491,0.0624
HST-KLS1206-3593330,0.8518,0.0584,0.0899
HST-KLS1227-2892412,0.8239,0.0811,0.095
HST-KLS1515-3593385,0.857,0.067,0.0761
HST-KLS1517-3593355,0.8351,0.0764,0.0885
HST-KLS1528-3593321,0.8469,0.0718,0.0812
HST-KLS1541-3593313,0.8646,0.0613,0.0741
HST-KLS1544-3593344,0.8494,0.068,0.0825
HST-KLS1556-3593324,0.8456,0.0698,0.0846
HST-SS170814-01-2562208,0.8523,0.0653,0.0824
HST-SS170820-02-2892469,0.8425,0.0705,0.0869
