,0,1,2,3
HST-KLS0490-2892498,0.9105,0.0105,0.039,0.04
HST-KLS0527-2892409,0.8855,0.0167,0.0485,0.0493
HST-KLS0528-2892531,0.9137,0.0102,0.0367,0.0394
HST-KLS0566-2892525,0.9093,0.012,0.0372,0.0415
HST-KLS0573-2892480,0.8841,0.0106,0.0523,0.053
HST-KLS0604-2892450,0.909,0.0104,0.0396,0.041
HST-KLS0635-2562180,0.8868,0.0102,0.0519,0.0511
HST-KLS0636-2562216,0.8866,0.0129,0.0496,0.0509
HST-KLS0675-2892455,0.9189,0.0093,0.0372,0.0346
HST-KLS0677-2892491,0.8916,0.0102,0.0479,0.0503
HST-KLS0678-2892468,0.8974,0.0133,0.0432,0.0461
HST-KLS0679-2892438,0.8875,0.0228,0.0469,0.0428
HST-KLS0680-2892474,0.9068,0.0131,0.0395,0.0406
HST-KLS0681-2892443,0.8811,0.0139,0.0502,0.0548
HST-KLS0682-2892504,0.9038,0.0143,0.0408,0.0411
HST-KLS0686-2892505,0.8989,0.0106,0.046,0.0445
HST-KLS0687-2892451,0.9096,0.0103,0.0384,0.0417
HST-KLS1157-3593388,0.8905,0.0105,0.0466,0.0524
HST-KLS1158-3593383,0.8992,0.0127,0.0426,0.0455
HST-KLS1159-3593340,0.8875,0.0131,0.0482,0.0512
HST-KLS1367-3593339,0.885,0.0122,0.0486,0.0542
HST-KLS1369-3593347,0.8949,0.0123,0.046,0.0468
HST-KLS1370-3593333,0.9064,0.0095,0.0452,0.0389
HST-KLS1371-3593312,0.8797,0.0125,0.0536,0.0542
HST-KLS1372-3593318,0.8803,0.0133,0.0552,0.0512
HST-KLS1380-3593381,0.9024,0.0108,0.0437,0.0431
HST-KLS1384-3593379,0.9084,0.0093,0.0405,0.0418
HST-KLS1385-3593310,0.8827,0.013,0.0538,0.0505
HST-KLS1412-3593322,0.8804,0.0133,0.0512,0.0551
HST-KLS1414-3593346,0.8909,0.0132,0.0459,0.05
HST-KLS1417-3593370,0.8951,0.0114,0.0462,0.0473
HST-KLS1418-3593309,0.8852,0.0134,0.051,0.0504
HST-KLS1419-3593306,0.8914,0.013,0.0492,0.0464
HST-KLS1420-3593353,0.8967,0.0125,0.0424,0.0484
HST-KLS1422-3593399,0.9023,0.012,0.0453,0.0404
HST-KLS1424-3593329,0.9073,0.0114,0.0415,0.0398
HST-KLS1429-3593311,0.895,0.0131,0.0482,0.0437
HST-KLS1662-4013403,0.8881,0.0147,0.0444,0.0528
HST-KLS1665-4013406,0.907,0.0385,0.028,0.0265
HST-KLS1666-4013407,0.8689,0.0155,0.0532,0.0624
HST-KLS1667-4013408,0.9012,0.02,0.0397,0.0391
HST-KLS1668-4013409,0.8773,0.0125,0.0544,0.0558
HST-KLS1669-4013410,0.876,0.0161,0.052,0.0559
HST-KLS1670-4013411,0.8921,0.0129,0.0483,0.0467
HST-KLS1671-4013412,0.8971,0.0141,0.0452,0.0436
HST-KLS1673-4013414,0.8995,0.0115,0.0451,0.0439
HST-KLS1674-4013415,0.8834,0.0137,0.0538,0.0491
HST-KLS1675-4013416,0.9005,0.0182,0.0403,0.041
HST-KLS1676-4013417,0.8986,0.0168,0.0421,0.0425
HST-KLS1678-4013419,0.8773,0.0168,0.0516,0.0543
HST-KLS1680-4013421,0.886,0.0101,0.0523,0.0516
HST-KLS1681-4013422,0.8959,0.0115,0.0466,0.046
HST-KLS1683-4013424,0.9022,0.0115,0.0437,0.0426
HST-KLS1684-4013425,0.8978,0.018,0.0424,0.0418
HST-KLS1685-4013426,0.8708,0.0141,0.0611,0.054
HST-KLS1686-4013427,0.9067,0.0098,0.0427,0.0408
HST-KLS1689-4013429,0.8901,0.0124,0.0469,0.0506
HST-KLS1691-4013431,0.8809,0.0152,0.051,0.0529
