,0,1,2,3,4
HST-KLS0490-2892498,0.8388,0.0411,0.0506,0.025,0.0446
HST-KLS0527-2892409,0.8148,0.0505,0.056,0.0268,0.052
HST-KLS0528-2892531,0.8348,0.0418,0.0564,0.0243,0.0426
HST-KLS0566-2892525,0.8366,0.0404,0.0477,0.0249,0.0504
HST-KLS0573-2892480,0.8186,0.0522,0.0495,0.0276,0.0521
HST-KLS0604-2892450,0.8436,0.0428,0.0474,0.0247,0.0415
HST-KLS0635-2562180,0.8177,0.0505,0.0564,0.026,0.0494
HST-KLS0636-2562216,0.8194,0.0521,0.0497,0.03,0.0488
HST-KLS0675-2892455,0.8508,0.0388,0.0393,0.0222,0.0488
HST-KLS0677-2892491,0.832,0.048,0.0487,0.0261,0.0451
HST-KLS0678-2892468,0.8199,0.047,0.0484,0.0303,0.0543
HST-KLS0679-2892438,0.8176,0.0449,0.0555,0.0329,0.0491
HST-KLS0680-2892474,0.8457,0.0417,0.0441,0.0255,0.043
HST-KLS0681-2892443,0.8209,0.0507,0.0511,0.0304,0.0469
HST-KLS0682-2892504,0.8289,0.0414,0.0441,0.0306,0.0551
HST-KLS0686-2892505,0.8303,0.0448,0.0477,0.0248,0.0524
HST-KLS0687-2892451,0.8364,0.0403,0.0556,0.0245,0.0433
HST-KLS1157-3593388,0.8274,0.0487,0.0467,0.0272,0.05
HST-KLS1158-3593383,0.8313,0.0474,0.0488,0.0258,0.0467
HST-KLS1159-3593340,0.8154,0.0493,0.0509,0.0265,0.0578
HST-KLS1367-3593339,0.8213,0.05,0.0528,0.0266,0.0493
HST-KLS1369-3593347,0.8291,0.052,0.0461,0.0279,0.0449
HST-KLS1370-3593333,0.8347,0.0382,0.0543,0.0211,0.0517
HST-KLS1371-3593312,0.8064,0.0494,0.0626,0.0287,0.053
HST-KLS1372-3593318,0.8092,0.0532,0.055,0.0272,0.0553
HST-KLS1380-3593381,0.8387,0.0422,0.0464,0.0255,0.0472
HST-KLS1384-3593379,0.8409,0.039,0.0512,0.0222,0.0467
HST-KLS1385-3593310,0.8102,0.0488,0.0572,0.0261,0.0577
HST-KLS1412-3593322,0.8111,0.0491,0.0522,0.0286,0.0589
HST-KLS1414-3593346,0.8327,0.0467,0.0464,0.0274,0.0468
HST-KLS1417-3593370,0.8252,0.0468,0.0522,0.0265,0.0493
HST-KLS1418-3593309,0.8217,0.0491,0.0474,0.0279,0.0538
HST-KLS1419-3593306,0.8147,0.0483,0.0536,0.0279,0.0555
HST-KLS1420-3593353,0.8279,0.0482,0.0441,0.0273,0.0525
HST-KLS1422-3593399,0.8294,0.0431,0.0452,0.0243,0.058
HST-KLS1424-3593329,0.8405,0.0398,0.0507,0.0241,0.0449
HST-KLS1429-3593311,0.829,0.0435,0.0529,0.0274,0.0472
HST-KLS1662-4013403,0.8198,0.0504,0.0443,0.0296,0.0559
HST-KLS1665-4013406,0.8378,0.0343,0.0407,0.0528,0.0344
HST-KLS1666-4013407,0.8009,0.0593,0.0562,0.0305,0.0531
HST-KLS1667-4013408,0.834,0.0397,0.0473,0.0369,0.0421
HST-KLS1668-4013409,0.8038,0.051,0.0476,0.0299,0.0676
HST-KLS1669-4013410,0.8076,0.0511,0.0581,0.0312,0.0519
HST-KLS1670-4013411,0.8275,0.0474,0.0517,0.0268,0.0466
HST-KLS1671-4013412,0.819,0.0476,0.055,0.0254,0.053
HST-KLS1673-4013414,0.8251,0.0484,0.0536,0.0256,0.0473
HST-KLS1674-4013415,0.8144,0.0533,0.0544,0.0289,0.049
HST-KLS1675-4013416,0.8364,0.0426,0.0436,0.0285,0.0489
HST-KLS1676-4013417,0.8238,0.0441,0.0515,0.0276,0.0531
HST-KLS1678-4013419,0.8099,0.0535,0.0554,0.0294,0.0517
HST-KLS1680-4013421,0.8188,0.0505,0.0514,0.0275,0.0518
HST-KLS1681-4013422,0.8207,0.0485,0.0552,0.0263,0.0492
HST-KLS1683-4013424,0.8286,0.0464,0.0487,0.0268,0.0496
HST-KLS1684-4013425,0.8223,0.0438,0.0541,0.0331,0.0467
HST-KLS1685-4013426,0.8079,0.056,0.0524,0.0293,0.0544
HST-KLS1686-4013427,0.831,0.0431,0.0534,0.0255,0.0469
HST-KLS1689-4013429,0.8178,0.0511,0.0586,0.027,0.0455
HST-KLS1691-4013431,0.8048,0.0537,0.0573,0.0279,0.0563
HST-VU38-2892414,0.8309,0.0427,0.045,0.0287,0.0527
HST-KLS0794-2562199,0.831,0.0396,0.0534,0.032,0.0441
HST-KLS0795-2892379,0.8299,0.0388,0.0525,0.0382,0.0405
HST-KLS0804-2892392,0.8184,0.0354,0.0455,0.0611,0.0396
HST-KLS0843-2892452,0.8278,0.0431,0.052,0.0303,0.0467
HST-KLS0847-2892542,0.8429,0.0216,0.0244,0.0629,0.0482
HST-KLS0858-2892456,0.8469,0.0315,0.0374,0.0516,0.0326
HST-KLS0883-2892509,0.8183,0.0415,0.0498,0.0545,0.0358
HST-KLS0923-2892400,0.8192,0.0391,0.0438,0.0479,0.0499
HST-KLS0938-2892388,0.8451,0.0365,0.0468,0.0254,0.0462
HST-KLS0983-2892406,0.8337,0.0319,0.0444,0.0478,0.0422
HST-KLS0986-2892407,0.8261,0.0466,0.0404,0.0291,0.0578
HST-KLS1273-2892431,0.831,0.0331,0.0495,0.0561,0.0303
HST-KLS1274-2892410,0.8272,0.0455,0.0506,0.0303,0.0465
HST-VU116-2892391,0.8156,0.0475,0.0504,0.028,0.0585
HST-KLS0559-2892377,0.8655,0.0213,0.0269,0.0671,0.0192
HST-KLS1173-2892444,0.8113,0.0509,0.0518,0.0274,0.0587
HST-KLS1182-2892449,0.8225,0.0482,0.0505,0.0265,0.0522
HST-KLS1200-2892434,0.8693,0.0201,0.0278,0.0659,0.0169
HST-KLS1206-3593330,0.8346,0.0304,0.0447,0.0527,0.0377
HST-KLS1227-2892412,0.8121,0.0521,0.0519,0.0317,0.0522
HST-KLS1515-3593385,0.835,0.0418,0.043,0.0289,0.0512
HST-KLS1517-3593355,0.8218,0.0475,0.0515,0.0317,0.0473
HST-KLS1528-3593321,0.8204,0.0445,0.0468,0.03,0.0583
HST-KLS1541-3593313,0.8455,0.0398,0.043,0.026,0.0457
HST-KLS1544-3593344,0.826,0.0463,0.0515,0.0287,0.0476
HST-KLS1556-3593324,0.8347,0.0341,0.0345,0.0598,0.037
HST-SS170814-01-2562208,0.8328,0.0388,0.0559,0.0293,0.0432
HST-SS170820-02-2892469,0.8224,0.046,0.0428,0.0285,0.0603
